max_mxHxm,E,delta_E,bracket_count,line_min_count,conjugate_cycle_count,cycle_count,cycle_sub_count,energy_calc_count,E_exchange,max_spin_ang_exchange,stage_max_spin_ang_exchange,run_max_spin_ang_exchange,E_demag,E_dmi,iteration,stage_iteration,stage,mx,my,mz,length,width,q,q_abs,bp_number,bp_number_hh,bp_number_tt,initpattern,fname,pbc_x,htop,hbottom,mesh_n_x,mesh_n_y,mesh_n_z,bp_arrangement,E_density,expected_bp_number,finalpattern,n_typechanges,eq_spacing,expected_config,y_centred
0.0984215375507,-5.51256919736e-17,2.46519032882e-32,549.0,519.0,10.0,532.0,519.0,1069.0,6.67813376602e-17,106.894998984,115.864141663,115.864141663,3.2732490847600004e-18,-1.25180278719e-16,1060.0,1060.0,0.0,0.0256567831895,0.00442685301893,-3.31083763563e-05,280,100,6.910578953807587e-05,2.088727188138064,2.0,1.0,1.0,io,run_selected/mbp_l_280_w_100_ht_10_io/mbp_l_280_w_100_ht_10_io.fixedfree.csv,False,10,20,112,40,12,"[[0.0, 27], [-1.0, 57], [-0.0, 28]]",-65625.82377809522,2,io,1,True,True,True
0.0912826095901,-5.3456467109e-17,1.23259516441e-32,5651.0,2099.0,11.0,5165.0,152.0,7751.0,7.12456402857e-17,101.333120081,122.655686087,122.655686087,3.67773905552e-18,-1.2837984644999998e-16,7275.0,7275.0,0.0,-6.21854778133e-05,0.000558843474401,0.0134527576426,280,100,-0.996518447233185,3.116848582197489,3.0,2.0,1.0,ioi,run_selected/mbp_l_280_w_100_ht_10_ioi/mbp_l_280_w_100_ht_10_ioi.fixedfree.csv,False,10,20,112,40,12,"[[-0.0, 17], [-1.0, 38], [-0.0, 39], [-1.0, 18]]",-63638.65132023808,3,ioi,2,True,True,True
0.0926346321653,-5.0273218262700005e-17,3.08148791102e-32,431.0,403.0,10.0,415.0,402.0,835.0,7.79144216054e-17,109.315781052,116.470865007,116.470865007,4.79651632269e-18,-1.32984156191e-16,828.0,828.0,0.0,0.0206574160348,0.0316951440413,-1.73347630363e-05,280,100,3.96862053544345e-05,4.154483902328898,4.0,2.0,2.0,ioio,run_selected/mbp_l_280_w_100_ht_10_ioio/mbp_l_280_w_100_ht_10_ioio.fixedfree.csv,False,10,20,112,40,12,"[[-0.0, 12], [-1.0, 29], [-0.0, 29], [-1.0, 29], [-0.0, 13]]",-59849.069360357134,4,ioio,3,True,True,True
0.0980596920401,-5.86726734009e-17,0.0,361.0,348.0,5.0,353.0,348.0,710.0,6.99449188898e-17,97.3011937624,127.682188984,127.682188984,4.392220473910001e-18,-1.33009812765e-16,703.0,703.0,0.0,-5.98734804145e-08,1.56234483603e-08,0.0379820194444,300,100,-0.9963690358486652,1.0603780831805805,1.0,1.0,0.0,i,run_selected/mbp_l_300_w_100_ht_10_i/mbp_l_300_w_100_ht_10_i.fixedfree.csv,False,10,20,120,40,12,"[[0.0, 60], [-1.0, 60]]",-65191.85933433332,1,i,0,True,True,True
0.0980596920401,-5.86726734009e-17,0.0,361.0,348.0,5.0,353.0,348.0,710.0,6.99449188898e-17,97.3011937624,127.682188984,127.682188984,4.392220473910001e-18,-1.33009812765e-16,703.0,703.0,0.0,5.98734804145e-08,-1.56234483603e-08,-0.0379820194444,300,100,0.9963690358486652,1.0603780831805805,1.0,0.0,1.0,o,run_selected/mbp_l_300_w_100_ht_10_o/mbp_l_300_w_100_ht_10_o.fixedfree.csv,False,10,20,120,40,12,"[[-0.0, 60], [1.0, 60]]",-65191.85933433332,1,o,0,True,True,True
0.0963991246905,-5.77614586479e-17,1.23259516441e-32,5051.0,2569.0,6.0,5042.0,37.0,7621.0,7.33593047878e-17,99.983434641,132.796299913,132.796299913,3.8308323951e-18,-1.34951595831e-16,7614.0,7614.0,0.0,7.35938488678e-09,4.36564989488e-10,0.0454848918483,300,100,-1.98111267124372,2.124106715816636,2.0,2.0,0.0,ii,run_selected/mbp_l_300_w_100_ht_10_ii/mbp_l_300_w_100_ht_10_ii.fixedfree.csv,False,10,20,120,40,12,"[[0.0, 32], [-1.0, 55], [-2.0, 33]]",-64179.398497666654,2,ii,0,True,True,True
0.0963991246905,-5.77614586479e-17,1.23259516441e-32,5051.0,2569.0,6.0,5042.0,37.0,7621.0,7.33593047878e-17,99.983434641,132.796299913,132.796299913,3.8308323951e-18,-1.34951595831e-16,7614.0,7614.0,0.0,-7.35938488678e-09,-4.36564989488e-10,-0.0454848918483,300,100,1.98111267124372,2.124106715816636,2.0,0.0,2.0,oo,run_selected/mbp_l_300_w_100_ht_10_oo/mbp_l_300_w_100_ht_10_oo.fixedfree.csv,False,10,20,120,40,12,"[[-0.0, 32], [1.0, 55], [2.0, 33]]",-64179.398497666654,2,oo,0,True,True,True
0.0935443298201,-5.9002401364e-17,-4.9303806576299997e-32,387.0,373.0,5.0,379.0,374.0,761.0,7.112630944940001e-17,101.27276827,130.894869647,130.894869647,3.54051967485e-18,-1.33669230488e-16,754.0,754.0,0.0,0.0107960316871,0.00374917193345,1.51528113951e-09,300,100,2.2734184913925543e-09,2.090156130380162,2.0,1.0,1.0,io,run_selected/mbp_l_300_w_100_ht_10_io/mbp_l_300_w_100_ht_10_io.fixedfree.csv,False,10,20,120,40,12,"[[0.0, 30], [-1.0, 59], [-0.0, 31]]",-65558.22373777776,2,io,1,True,True,True
0.0935443298201,-5.9002401364e-17,-4.9303806576299997e-32,387.0,373.0,5.0,379.0,374.0,761.0,7.112630944940001e-17,101.27276827,130.894869647,130.894869647,3.54051967485e-18,-1.33669230488e-16,754.0,754.0,0.0,-0.0107960316871,-0.00374917193345,-1.51528113951e-09,300,100,-2.2734184913925543e-09,2.090156130380162,2.0,1.0,1.0,oi,run_selected/mbp_l_300_w_100_ht_10_oi/mbp_l_300_w_100_ht_10_oi.fixedfree.csv,False,10,20,120,40,12,"[[-0.0, 30], [1.0, 59], [0.0, 31]]",-65558.22373777776,2,oi,1,True,True,True
0.0943390491584,-5.73407337008e-17,0.0,989.0,808.0,12.0,950.0,457.0,1798.0,7.40198104848e-17,109.434280875,150.437869929,150.437869929,3.466303004890001e-18,-1.3482684719e-16,1762.0,1762.0,0.0,-0.0175624238975,-0.00431291962182,-0.00914283138,300,100,0.9433733971416528,3.102885257976575,3.0,1.0,2.0,ooi,run_selected/mbp_l_300_w_100_ht_10_ooi/mbp_l_300_w_100_ht_10_ooi.fixedfree.csv,False,10,20,120,40,12,"[[-0.0, 27], [1.0, 12], [2.0, 53], [1.0, 28]]",-63711.92633422222,3,ooi,1,False,True,True
0.0931372399305,-5.61839700379e-17,1.23259516441e-32,2864.0,2806.0,8.0,2852.0,2772.0,5671.0,7.709340403610001e-17,112.478704437,155.932214161,155.932214161,3.6880118653700014e-18,-1.36965385939e-16,5661.0,5661.0,0.0,0.00911141778755,-0.00420740509554,0.0558568525757,300,100,-2.9612942063655137,3.165546348042576,3.0,3.0,0.0,iii,run_selected/mbp_l_300_w_100_ht_10_iii/mbp_l_300_w_100_ht_10_iii.fixedfree.csv,False,10,20,120,40,12,"[[0.0, 28], [-1.0, 32], [-2.0, 32], [-3.0, 28]]",-62426.63337544444,3,iii,0,True,True,True
0.0950972668147,-5.73402796203e-17,8.62816615085e-32,2249.0,1356.0,15.0,2182.0,355.0,3606.0,7.38398722415e-17,105.890502854,135.152939724,135.152939724,3.4621571039500005e-18,-1.34642308966e-16,3546.0,3546.0,0.0,0.00810787543706,-0.000748929124309,-0.00829072861885,300,100,0.9289457554219364,3.0973409885025283,3.0,1.0,2.0,ioo,run_selected/mbp_l_300_w_100_ht_10_ioo/mbp_l_300_w_100_ht_10_ioo.fixedfree.csv,False,10,20,120,40,12,"[[0.0, 26], [-1.0, 55], [-0.0, 10], [1.0, 29]]",-63711.42180033333,3,ioo,1,False,True,True
