max_mxHxm,E,delta_E,bracket_count,line_min_count,conjugate_cycle_count,cycle_count,cycle_sub_count,energy_calc_count,E_exchange,max_spin_ang_exchange,stage_max_spin_ang_exchange,run_max_spin_ang_exchange,E_demag,E_dmi,iteration,stage_iteration,stage,mx,my,mz,length,width,q,q_abs,bp_number,bp_number_hh,bp_number_tt,initpattern,fname,E_density,expected_bp_number,eq_spacing,mesh_n_x,mesh_n_y,mesh_n_z,hbottom,htop,y_centred,expected_config,pbc_x,bp_arrangement,finalpattern,n_typechanges
0.0936636352616,-2.0553304150200002e-17,-1.54074395551e-32,230.0,218.0,5.0,223.0,218.0,449.0,2.47970906451e-17,97.3190252422,127.576246675,127.576246675,1.26658307509e-18,-4.66169778704e-17,444.0,444.0,0.0,-3.00593276508e-08,6.44760122444e-09,-0.0417665522188,100,100,0.996849834909182,1.048622601934185,1.0,0.0,1.0,o,run_selected_small/mbp_l_100_w_100_ht_10_o/mbp_l_100_w_100_ht_10_o_fixedfree.csv,-68511.013834,1,,40.0,40.0,12,20,10,,True,False,"[[0.0, 20], [1.0, 20]]",o,0
0.0962090807591,-2.0553304150200002e-17,1.23259516441e-32,271.0,235.0,11.0,251.0,234.0,507.0,2.47970906051e-17,97.3190026537,123.032238484,123.032238484,1.26658309666e-18,-4.6616977852e-17,494.0,494.0,0.0,2.25655434575e-10,-1.5266111047e-10,-0.0417665480204,100,100,0.9968498358311286,1.0486226023725826,1.0,0.0,1.0,ooo,run_selected_small/mbp_l_100_w_100_ht_10_ooo/mbp_l_100_w_100_ht_10_ooo_fixedfree.csv,-68511.013834,3,,40.0,40.0,12,20,10,,False,False,"[[0.0, 20], [1.0, 20]]",o,0
0.0926953101669,-1.51156737441e-17,0.0,1942.0,1857.0,6.0,1922.0,1645.0,3800.0,3.3793560233900004e-17,106.739748836,147.865923493,147.865923493,2.7262845603700007e-18,-5.163551853840001e-17,3782.0,3782.0,0.0,0.354147888355,0.171408740399,0.000134702307683,100,100,-0.0004612395866042,2.1434757677613523,2.0,1.0,1.0,oi,run_selected_small/mbp_l_100_w_100_ht_10_oi/mbp_l_100_w_100_ht_10_oi_fixedfree.csv,-50385.579147,2,,40.0,40.0,12,20,10,,True,False,"[[-0.0, 12], [1.0, 15], [0.0, 13]]",oi,1
0.0926953101669,-1.51156737441e-17,0.0,1942.0,1857.0,6.0,1922.0,1645.0,3800.0,3.3793560233900004e-17,106.739748836,147.865923493,147.865923493,2.7262845603700007e-18,-5.163551853840001e-17,3782.0,3782.0,0.0,-0.354147888355,-0.171408740399,-0.000134702307683,100,100,0.0004612395866042,2.1434757677613523,2.0,1.0,1.0,io,run_selected_small/mbp_l_100_w_100_ht_10_io/mbp_l_100_w_100_ht_10_io_fixedfree.csv,-50385.579147,2,,40.0,40.0,12,20,10,,True,False,"[[0.0, 12], [-1.0, 15], [-0.0, 13]]",io,1
0.097594153001,-2.34741682918e-17,6.162975822039999e-33,475.0,448.0,11.0,462.0,445.0,924.0,2.88603601688e-17,28.2440467159,47.2222724411,47.2222724411,3.5705308902800005e-18,-5.59050593509e-17,917.0,917.0,0.0,-0.708873023652,-0.191514141064,-7.63762885452e-10,125,100,3.0636481705270045e-10,0.0484252344034963,0.0,0.0,0.0,iio,run_selected_small/mbp_l_125_w_100_ht_10_iio/mbp_l_125_w_100_ht_10_iio_fixedfree.csv,-62597.78211146666,3,,50.0,40.0,12,20,10,,False,False,"[[-0.0, 50]]",,1
0.0957781663344,-2.34741682918e-17,-3.0814879110199995e-33,478.0,453.0,10.0,466.0,453.0,932.0,2.8860360121e-17,28.2440461774,47.9106189568,47.9106189568,3.570530884040001e-18,-5.59050592968e-17,925.0,925.0,0.0,0.708873028331,0.19151409323,-1.42648568185e-09,125,100,2.7000876796639553e-09,0.0484252356076828,0.0,0.0,0.0,oii,run_selected_small/mbp_l_125_w_100_ht_10_oii/mbp_l_125_w_100_ht_10_oii_fixedfree.csv,-62597.78211146666,3,,50.0,40.0,12,20,10,,False,False,"[[0.0, 50]]",,1
0.097594153001,-2.34741682918e-17,6.162975822039999e-33,475.0,448.0,11.0,462.0,445.0,924.0,2.88603601688e-17,28.2440467159,47.2222724411,47.2222724411,3.5705308902800005e-18,-5.59050593509e-17,917.0,917.0,0.0,0.708873023652,0.191514141064,7.63762885452e-10,125,100,-3.0636481705270045e-10,0.0484252344034963,0.0,0.0,0.0,ooi,run_selected_small/mbp_l_125_w_100_ht_10_ooi/mbp_l_125_w_100_ht_10_ooi_fixedfree.csv,-62597.78211146666,3,,50.0,40.0,12,20,10,,False,False,"[[0.0, 50]]",,1
0.0957781663344,-2.34741682918e-17,-3.0814879110199995e-33,478.0,453.0,10.0,466.0,453.0,932.0,2.8860360121e-17,28.2440461774,47.9106189568,47.9106189568,3.570530884040001e-18,-5.59050592968e-17,925.0,925.0,0.0,-0.708873028331,-0.19151409323,1.42648568185e-09,125,100,-2.7000876796639553e-09,0.0484252356076828,0.0,0.0,0.0,ioo,run_selected_small/mbp_l_125_w_100_ht_10_ioo/mbp_l_125_w_100_ht_10_ioo_fixedfree.csv,-62597.78211146666,3,,50.0,40.0,12,20,10,,False,False,"[[-0.0, 50]]",,1
0.0983764146626,-2.55920239526e-17,6.162975822039999e-33,290.0,262.0,11.0,272.0,255.0,553.0,3.00320517029e-17,97.322895408,129.682906635,129.682906635,1.481507923e-18,-5.71055835785e-17,541.0,541.0,0.0,-3.8600645404e-09,-1.31878841414e-08,-0.0394999940467,125,100,0.9969829525798936,1.051076670893424,1.0,0.0,1.0,ooo,run_selected_small/mbp_l_125_w_100_ht_10_ooo/mbp_l_125_w_100_ht_10_ooo_fixedfree.csv,-68245.39720693331,3,,50.0,40.0,12,20,10,,False,False,"[[-0.0, 25], [1.0, 25]]",o,0
0.0981465654233,-2.29520650755e-17,-6.162975822039999e-33,703.0,636.0,19.0,676.0,547.0,1340.0,3.32623962937e-17,100.792164923,178.399452208,178.399452208,2.9909604224800002e-18,-5.92054217916e-17,1318.0,1318.0,0.0,0.447227122129,0.0496609532017,-0.00346527022145,125,100,-0.9842275108080386,1.0671948448387776,1.0,1.0,0.0,oio,run_selected_small/mbp_l_125_w_100_ht_10_oio/mbp_l_125_w_100_ht_10_oio_fixedfree.csv,-61205.50686799999,3,,50.0,40.0,12,20,10,,False,False,"[[0.0, 34], [-1.0, 16]]",i,2
