max_mxHxm,E,delta_E,bracket_count,line_min_count,conjugate_cycle_count,cycle_count,cycle_sub_count,energy_calc_count,E_exchange,max_spin_ang_exchange,stage_max_spin_ang_exchange,run_max_spin_ang_exchange,E_demag,E_dmi,iteration,stage_iteration,stage,mx,my,mz,length,width,htop,hbottom,mesh_n_x,mesh_n_y,mesh_n_z,q,q_abs,bp_number,bp_number_hh,bp_number_tt,bp_arrangement,initpattern,fname,pbc_x,E_density,expected_bp_number,finalpattern,n_typechanges,expected_config
0.0906345344004,-2.27701350337e-16,0.0,1086.0,961.0,11.0,1061.0,701.0,2048.0,2.89843410441e-16,113.827061449,132.583466765,132.583466765,1.46130821589e-17,-5.32157842937e-16,2030.0,2030.0,0.0,-0.012543192001,-0.00112169289211,8.9936710143e-06,1200,100,10,20,480,40,12,-9.81843231156854e-05,8.380802676351273,8.0,4.0,4.0,"[[-0.0, 31], [1.0, 56], [2.0, 62], [1.0, 61], [2.0, 59], [1.0, 61], [2.0, 62], [1.0, 56], [0.0, 32]]",ooioioii,eight_bps/mbp_l_1200_w_100_ht_10_ooioioii/mbp_l_1200_w_100_ht_10_ooioioii.fixedfree.csv,False,-63250.375093611096,8,ooioioii,5,True
0.0944509239442,-2.2390780687999997e-16,-4.43734259187e-31,1028.0,961.0,12.0,1003.0,771.0,1990.0,2.96839923628e-16,120.76747881,131.978637691,131.978637691,1.55510451162e-17,-5.36298775624e-16,1967.0,1967.0,0.0,0.00355731979094,-0.00237054190707,-0.00158692986833,1200,100,10,20,480,40,12,-0.0125683808519667,8.48383681279802,8.0,4.0,4.0,"[[0.0, 31], [-1.0, 59], [-2.0, 59], [-3.0, 63], [-2.0, 58], [-1.0, 59], [-0.0, 59], [1.0, 62], [0.0, 30]]",iiiooooi,eight_bps/mbp_l_1200_w_100_ht_10_iiiooooi/mbp_l_1200_w_100_ht_10_iiiooooi.fixedfree.csv,False,-62196.613022222205,8,iiiooooi,2,True
0.0992681410258,-2.25211027829e-16,-9.860761315259999e-31,1393.0,1191.0,11.0,1348.0,921.0,2585.0,2.94348427231e-16,110.459220899,173.503196238,173.503196238,1.52037033911e-17,-5.34763158451e-16,2548.0,2548.0,0.0,0.00864887053614,-0.00189738440797,0.0126781634649,1200,100,10,20,480,40,12,-1.9684569296187773,8.448998358559589,8.0,5.0,3.0,"[[0.0, 31], [-1.0, 59], [-2.0, 56], [-3.0, 63], [-2.0, 65], [-3.0, 56], [-4.0, 62], [-3.0, 53], [-2.0, 35]]",iiioiioo,eight_bps/mbp_l_1200_w_100_ht_10_iiioiioo/mbp_l_1200_w_100_ht_10_iiioiioo.fixedfree.csv,False,-62558.61884138888,8,iiioiioo,3,True
0.0972640385918,-2.23939713339e-16,4.9303806576299997e-32,1298.0,1137.0,12.0,1264.0,885.0,2436.0,2.9673963675099997e-16,112.6386119,131.663888745,131.663888745,1.5524921650300002e-17,-5.3620427174e-16,2409.0,2409.0,0.0,0.00843966131677,0.000276673935985,0.0240065973931,1200,100,10,20,480,40,12,-3.949469325195333,8.483563602723473,8.0,6.0,2.0,"[[0.0, 31], [-1.0, 56], [-2.0, 64], [-1.0, 58], [-0.0, 65], [-1.0, 57], [-2.0, 59], [-3.0, 58], [-4.0, 32]]",iiooiiii,eight_bps/mbp_l_1200_w_100_ht_10_iiooiiii/mbp_l_1200_w_100_ht_10_iiooiiii.fixedfree.csv,False,-62205.4759275,8,iiooiiii,2,True
0.099153845868,-2.27696563853e-16,-1.47911419729e-31,1071.0,960.0,11.0,1041.0,768.0,2032.0,2.89856957555e-16,113.000906669,132.545637742,132.545637742,1.46176738631e-17,-5.3217119527e-16,2009.0,2009.0,0.0,0.00760529282653,0.00356578748275,0.00011945269203,1200,100,10,20,480,40,12,8.35795230375748e-05,8.380997778029416,8.0,4.0,4.0,"[[0.0, 30], [-1.0, 60], [-0.0, 60], [-1.0, 63], [-0.0, 56], [1.0, 62], [0.0, 56], [-1.0, 63], [-0.0, 30]]",ioiooiio,eight_bps/mbp_l_1200_w_100_ht_10_ioiooiio/mbp_l_1200_w_100_ht_10_ioiooiio.fixedfree.csv,False,-63249.04551472221,8,ioiooiio,5,True
0.095948580593,-2.2518220320399997e-16,9.860761315259999e-32,1013.0,932.0,11.0,992.0,726.0,1946.0,2.94473705861e-16,113.183179413,136.274114485,136.274114485,1.52311821504e-17,-5.348870912149999e-16,1931.0,1931.0,0.0,-0.0123309634903,0.00109678454468,-0.0129485331443,1200,100,10,20,480,40,12,1.968308564557808,8.449214995025706,8.0,3.0,5.0,"[[-0.0, 30], [1.0, 60], [0.0, 62], [1.0, 58], [2.0, 60], [3.0, 58], [4.0, 63], [3.0, 57], [2.0, 32]]",oiooooii,eight_bps/mbp_l_1200_w_100_ht_10_oiooooii/mbp_l_1200_w_100_ht_10_oiooooii.fixedfree.csv,False,-62550.61200111109,8,oiooooii,3,True
0.0992707103424,-2.27703859361e-16,1.47911419729e-31,1692.0,1175.0,11.0,1665.0,1347.0,2868.0,2.89826542314e-16,112.907731969,132.580689133,132.580689133,1.46109589231e-17,-5.32141360598e-16,2848.0,2848.0,0.0,-0.00642557653376,0.00392415718449,-0.000124554430975,1200,100,10,20,480,40,12,-9.062483698851388e-05,8.380957368085207,8.0,4.0,4.0,"[[-0.0, 30], [1.0, 60], [0.0, 64], [1.0, 55], [2.0, 62], [1.0, 55], [0.0, 63], [1.0, 61], [0.0, 30]]",oiooiioi,eight_bps/mbp_l_1200_w_100_ht_10_oiooiioi/mbp_l_1200_w_100_ht_10_oiooiioi.fixedfree.csv,False,-63251.07204472221,8,oiooiioi,5,True
0.0933399954907,-2.23946207545e-16,-2.95822839458e-30,1491.0,1313.0,12.0,1459.0,1045.0,2805.0,2.96718167241e-16,107.322297697,174.604113479,174.604113479,1.55197764271e-17,-5.36184151213e-16,2780.0,2780.0,0.0,-0.000207231061805,-0.00248715830224,-0.0369410963717,1200,100,10,20,480,40,12,5.917991794869101,8.483323339764242,8.0,1.0,7.0,"[[-0.0, 31], [1.0, 59], [2.0, 60], [3.0, 56], [4.0, 63], [3.0, 65], [4.0, 56], [5.0, 56], [6.0, 34]]",ooooiooo,eight_bps/mbp_l_1200_w_100_ht_10_ooooiooo/mbp_l_1200_w_100_ht_10_ooooiooo.fixedfree.csv,False,-62207.2798736111,8,ooooiooo,2,True
0.0932871430381,-2.25187648594e-16,-1.97215226305e-31,6583.0,2146.0,11.0,5319.0,306.0,8730.0,2.94424725095e-16,111.48074463,158.399417802,158.399417802,1.52216410337e-17,-5.34834014723e-16,7472.0,7472.0,0.0,0.00656396656507,0.00165315635096,-0.0127690603599,1200,100,10,20,480,40,12,1.968504372619032,8.449216382623018,8.0,3.0,5.0,"[[0.0, 31], [-1.0, 55], [-2.0, 65], [-1.0, 60], [-0.0, 58], [1.0, 56], [2.0, 64], [1.0, 61], [2.0, 30]]",iiooooio,eight_bps/mbp_l_1200_w_100_ht_10_iiooooio/mbp_l_1200_w_100_ht_10_iiooooio.fixedfree.csv,False,-62552.12460944443,8,iiooooio,3,True
0.0963396011366,-2.22665434207e-16,0.0,1066.0,963.0,12.0,1040.0,754.0,2030.0,2.99119691566e-16,108.264503275,132.398370926,132.398370926,1.58483772831e-17,-5.37633503056e-16,2008.0,2008.0,0.0,0.00724096501909,-0.000703977155798,-0.0389155109689,1200,100,10,20,480,40,12,5.905349111746914,8.517546714932033,8.0,1.0,7.0,"[[0.0, 31], [-1.0, 63], [-0.0, 57], [1.0, 59], [2.0, 60], [3.0, 60], [4.0, 60], [5.0, 57], [6.0, 33]]",iooooooo,eight_bps/mbp_l_1200_w_100_ht_10_iooooooo/mbp_l_1200_w_100_ht_10_iooooooo.fixedfree.csv,False,-61851.509501944434,8,iooooooo,1,True
0.0934494032621,-2.2518752463599997e-16,2.46519032882e-31,1094.0,994.0,11.0,1071.0,812.0,2089.0,2.9447165959499997e-16,122.513262477,154.504393541,154.504393541,1.52273552458e-17,-5.34886539476e-16,2071.0,2071.0,0.0,-0.00637203013958,-0.00174528129691,-0.000311782045491,1200,100,10,20,480,40,12,-8.267878916374006e-05,8.44992154824635,8.0,4.0,4.0,"[[-0.0, 31], [1.0, 59], [2.0, 58], [3.0, 63], [2.0, 58], [1.0, 57], [0.0, 63], [1.0, 61], [0.0, 30]]",oooiiioi,eight_bps/mbp_l_1200_w_100_ht_10_oooiiioi/mbp_l_1200_w_100_ht_10_oooiiioi.fixedfree.csv,False,-62552.09017666665,8,oooiiioi,3,True
0.09925666758,-2.2646379598999997e-16,2.46519032882e-31,1057.0,942.0,11.0,1025.0,713.0,2000.0,2.92060754088e-16,112.584621451,132.240215401,132.240215401,1.4900508226e-17,-5.33425058304e-16,1975.0,1975.0,0.0,0.0090823074292,0.000373296223777,-0.00130526081156,1200,100,10,20,480,40,12,-0.0125013912749863,8.415026840818168,8.0,4.0,4.0,"[[0.0, 31], [-1.0, 56], [-2.0, 63], [-1.0, 56], [-0.0, 64], [-1.0, 64], [-0.0, 54], [1.0, 62], [0.0, 30]]",iiooiooi,eight_bps/mbp_l_1200_w_100_ht_10_iiooiooi/mbp_l_1200_w_100_ht_10_iiooiooi.fixedfree.csv,False,-62906.6099972222,8,iiooiooi,4,True
